Protein.IDs,Fraction,n,n_C,n_AD,tStat,pVal,padj,ttest_significant,Entropy Control,Entropy AD,Entropy difference
sp|P63172|DYLT1_HUMAN,4,10,5,5,-0.5229108727724493,0.6195177273942608,0.7303037410863326,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63172|DYLT1_HUMAN,5,10,5,5,-0.7024239585745778,0.5168561460868863,0.7303037410863326,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63172|DYLT1_HUMAN,2,10,5,5,0.2208877574802006,0.8307272006538509,0.8307272006538509,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63173|RL38_HUMAN,1,10,5,5,-1.1583635952072042,0.28537631502698974,0.7839966102215299,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,2,10,5,5,0.8271569268212626,0.4333687417867762,0.7839966102215299,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,4,10,5,5,-0.9552176779687038,0.37036703290280976,0.7839966102215299,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,7,10,5,5,-0.797850937111725,0.44799806298373135,0.7839966102215299,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,3,10,5,5,0.582679573184428,0.5864678128314813,0.7927013752235926,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,5,10,5,5,0.43090267144051014,0.6794583216202222,0.7927013752235926,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63173|RL38_HUMAN,6,10,5,5,0.0643951993340628,0.9502392998397027,0.9502392998397027,No,0.6744920615187867,0.7024320124101048,0.027939950891318066
sp|P63208|SKP1_HUMAN,1,10,5,5,0.7149521954813427,0.5017545437531052,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,2,10,5,5,-0.9389779616469374,0.37582426863707,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,4,10,5,5,0.7972311711426519,0.4512060438139478,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,5,10,5,5,0.9811915387327765,0.3645702370349071,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,6,10,5,5,1.9499555400826207,0.0870199579279826,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,7,10,5,5,-1.4685895861759874,0.18013354890004218,0.5853803010452895,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63208|SKP1_HUMAN,3,10,5,5,0.21264098187358,0.837991101217412,0.837991101217412,No,0.9581687476649976,0.9337810279947254,0.0243877196702722
sp|P63215|GBG3_HUMAN,1,10,5,5,-1.4900739486245225,0.17493869314860264,0.5565613194896127,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,2,10,5,5,-1.7011895571907782,0.14480170853514945,0.5565613194896127,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,4,10,5,5,1.3009260818790271,0.2385262797812626,0.5565613194896127,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,3,10,5,5,-0.741079727929321,0.48103559517449723,0.5904175263000172,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,5,10,5,5,0.9304465828511408,0.3796902236115983,0.5904175263000172,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,6,10,5,5,0.5615381370891825,0.5904175263000172,0.5904175263000172,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63215|GBG3_HUMAN,7,10,5,5,0.6336551617591578,0.5454976592824603,0.5904175263000172,No,0.916337400046185,0.9204316764470697,0.004094276400884667
sp|P63220|RS21_HUMAN,1,10,5,5,0.7698428026458778,0.46899426402762856,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,2,10,5,5,0.324632367434028,0.7565121277141044,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,3,10,5,5,0.04792156078512487,0.9629603710785803,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,4,10,5,5,1.1040852457739772,0.30213859013222943,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,5,10,5,5,-0.37822342155910793,0.7191196619332494,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,6,10,5,5,-0.21270422596884642,0.8378626034848384,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63220|RS21_HUMAN,7,10,5,5,0.25295163035832174,0.8114743627388762,0.9629603710785803,No,0.7121768181438805,0.6588209867712939,0.05335583137258659
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,3,10,5,5,-2.538463710537927,0.0350983689857962,0.19036373417645466,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,6,10,5,5,2.2528537707984775,0.054389638336129906,0.19036373417645466,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,4,10,5,5,-1.5491970276393305,0.1618051550329879,0.37754536174363845,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,7,10,5,5,1.1724360492119976,0.27762085160907907,0.4858364903158884,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,1,10,5,5,-0.5481159532932018,0.5986650652355625,0.6638908098226364,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,2,10,5,5,-0.7220873522445346,0.49653998063267024,0.6638908098226364,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63241|IF5A1_HUMAN;sp|Q6IS14|IF5AL_HUMAN;sp|Q9GZV4|IF5A2_HUMAN,5,10,5,5,-0.4593821334004082,0.6638908098226364,0.6638908098226364,No,0.991537147146719,0.9831098032124356,0.00842734393428346
sp|P63244|RACK1_HUMAN,3,10,5,5,0.9571182350339065,0.37087405572001575,0.9646927291259276,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,5,10,5,5,1.3014022397667835,0.22951293609098494,0.9646927291259276,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,6,10,5,5,-0.8813510615694178,0.41343974105396897,0.9646927291259276,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,1,10,5,5,-0.010967975145419919,0.9915198656329153,0.9915198656329153,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,2,10,5,5,0.02435138951272276,0.9811760914337367,0.9915198656329153,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,4,10,5,5,-0.11298380176764705,0.9141546811055056,0.9915198656329153,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63244|RACK1_HUMAN,7,10,5,5,0.04133605691464422,0.9681341112473241,0.9915198656329153,No,0.8039049023956183,0.7644785942471282,0.03942630814849013
sp|P63261|ACTG_HUMAN,7,10,5,5,3.0734631414221343,0.023950100267949442,0.1676507018756461,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,3,10,5,5,-2.0962510987034793,0.07243340516752084,0.25351691808632293,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,5,10,5,5,-1.4755317671588302,0.17871661664404237,0.41700543883609886,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,4,10,5,5,-1.2027301840668407,0.2717155242455265,0.47550216742967133,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,1,10,5,5,-0.1620189096348854,0.875338127358651,0.9684087462756759,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,2,10,5,5,-0.05766194996157911,0.95624939746125,0.9684087462756759,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P63261|ACTG_HUMAN,6,10,5,5,0.04101086604100676,0.9684087462756759,0.9684087462756759,No,0.9848167829826947,0.9928574872367312,0.008040704254036468
sp|P67775|PP2AA_HUMAN,1,10,5,5,-2.822826809796365,0.028715592133657677,0.20100914493560373,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,7,10,5,5,2.069877246920793,0.0784105490412073,0.27443692164422556,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,2,10,5,5,-0.6226387734076598,0.5557047351562729,0.7451144781244385,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,3,10,5,5,0.5291265788523198,0.6207945753597546,0.7451144781244385,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,4,10,5,5,-0.3385135676256841,0.7451144781244385,0.7451144781244385,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,5,10,5,5,-0.899373744755236,0.39490711341716944,0.7451144781244385,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67775|PP2AA_HUMAN,6,10,5,5,-0.4601222954764217,0.6592430844718746,0.7451144781244385,No,0.9773410344896378,0.9761582192444442,0.0011828152451935914
sp|P67870|CSK2B_HUMAN,3,10,5,5,-2.6242908082696377,0.041718960459596985,0.2548662355473732,No,0.9648438774573654,0.9612997070296955,0.003544170427669968
sp|P67870|CSK2B_HUMAN,5,10,5,5,1.963481104979825,0.10922838666315993,0.2548662355473732,No,0.9648438774573654,0.9612997070296955,0.003544170427669968
